feature,gain,weight,cover,gain_pct
AWEI,1972.685546875,3498.0,3906.594970703125,55.39
B11,574.3500366210938,7275.0,4133.96728515625,16.13
BSI_N,153.7426300048828,4692.0,4824.31689453125,4.32
B01,150.2626953125,12495.0,3483.40576171875,4.22
B12,149.94598388671875,5488.0,3232.37060546875,4.21
B03,102.74994659423828,4863.0,4389.22705078125,2.89
B02,98.88993072509766,5947.0,4459.04541015625,2.78
R_B11_B12,53.82663345336914,10601.0,3291.816650390625,1.51
IBI,43.64409255981445,3076.0,2335.39013671875,1.23
BI,40.346717834472656,2632.0,2857.819580078125,1.13
B08,36.344764709472656,3904.0,2868.100830078125,1.02
MNDWI,32.20504379272461,4176.0,3027.35791015625,0.9
NDWI,28.301401138305664,4491.0,3974.224365234375,0.79
SAVI,25.462385177612305,2611.0,3388.183837890625,0.71
NDBI,23.38136863708496,4034.0,2787.5869140625,0.66
EVI,23.035621643066406,3313.0,2307.50537109375,0.65
B04,18.877033233642578,4455.0,2742.349853515625,0.53
UI,17.3968448638916,3232.0,2368.98828125,0.49
NDVI,15.903152465820312,3211.0,3318.26123046875,0.45
